Qty,Value,Device,Package,Description,MF,MPN,OC_FARNELL,OC_NEWARK,SPICEMODEL,SPICEPREFIX,SPICETYPE
6,,LED_ESML0603,LED_SML0603,,,,,,,,
1,,SWITCH-SPDT-SMD-A,SWITCH-SPST-SMD-A,SPDT Switch,,,,,,,
4,0,RESISTOR0603-RES,0603-RES,,,,,,,,
3,0.01uF,CAP0603-CAP,0603-CAP,,,,,,,,
11,0.1uF,CAP0603-CAP,0603-CAP,,,,,,,,
1,0.22uF,CAP0603-CAP,0603-CAP,Capacitor,,,,,,,
12,100nF,CAP0603-CAP,0603-CAP,,,,,,,,
1,100nF,EEFCD0J100ER,4.3X7.3SMD,,,,,,,,
3,10k,RESISTOR0603-RES,0603-RES,,,,,,,,
1,10nF,CAP0603-CAP,0603-CAP,Capacitor,,,,,,,
2,10pF,CAP0603-CAP,0603-CAP,,,,,,,,
4,10uF,CAP0603-CAP,0603-CAP,,,,,,,,
3,10uF,EEFCD0J100ER,4.3X7.3SMD,,,,,,,,
1,16.000 MHz,NX5032GA,2-SMD,NX5032GA in a 2-SMD (5mmx3.2mm) package,,,,,,,
1,1M,RESISTOR0603-RES,0603-RES,Resistor,,,,,,,
4,1uF,CAP0603-CAP,0603-CAP,,,,,,,,
1,1uF,CAP_POL6032,EIA6032,Capacitor Polarized,,,,,,,
1,2.2uF,CAP0603-CAP,0603-CAP,Capacitor,,,,,,,
1,200,RESISTOR0603-RES,0603-RES,Resistor,,,,,,,
2,24pF,CAP0603-CAP,0603-CAP,,,,,,,,
1,32.768 kHz,AB26TRB,CYLINDRICAL-(1.9DIAX6L),AB26TRB in a cylindrical (1.90mm x 6.00mm) package,,,,,,,
9,4.7k,RESISTOR0603-RES,0603-RES,,,,,,,,
1,4.7uF,CAP0603-CAP,0603-CAP,Capacitor,,,,,,,
1,87438-04,87438-04,87438-04,Wire-to-Board  1.50mm (.059) Pitch Header - Right Angle,,,,,,,
1,ADT7310,ADT7310,SOIC-8(5X6.2),ADT7310 in a 5x6.2 SOIC-8 package,,,,,,,
1,ADXL362,ADXL365,LGA-16(3X3.25),ADXL362 in a 3x3.25 LGA-16 Package,,,,,,,
1,FXAS21000,FXAS21000,QFN-24(4X4),FXAS21000 in a 4x4 QFN-24 package,,,,,,,
1,L3GD20H,L3GD20H,LGA-16,L3GD20H in a 3x3 LGA-16 package,,,,,,,
1,LIS3DH,LIS3DH,LGA-16,LIS3DH in a 3x3 LGA-16 package,,,,,,,
1,LPS331AP,LPS331AP,LGA-16,LPS331AP in a 3x3 HCLGA-16 package,,,,,,,
1,LSM303D,LSM303D,LGA-16,LSM303D in a 3x3 LGA-16 package,,,,,,,
2,LT1963EST-1.5,LT1963EST-1.5,SOT223,,,,,,,,
1,MAG3110,MAG3110,DFN-10(2X2),MAG3110 in a 2x2 DFN-10 package,,,,,,,
1,MPL3115A2,MPL3115A2,LGA-8(5X3),MPL3115A2 in a 3x5 LGA-8 package,,,,,,,
1,SDBMF,SDBMF,SDBMF-009XXBXX2,SD MEMORY CARD PUSH-PUSH WITH CONNECTOR TYPE B (BIG SWUÌTCH #3),,,,,,,
1,STLM20,STLM20,SOT323-5L,STLM20 in a 1.35x2.2 SOT323-5L package,,,,,,,
1,TM4C1233H6PM,TM4C1233H6PM,S-PQFP-G64,TM4C1233H6PM in a 10.2x10.2 S-PQFP-G64 package,,,,,,,
